iter	RMSE
0	3.945230295
1	3.896061253
2	3.870744424
3	3.839290842
4	3.802390625
5	3.773163569
6	3.735327649
7	3.715870515
8	3.67770718
9	3.644927427
10	3.610250839
11	3.580607484
12	3.551147393
13	3.516522902
14	3.487716265
15	3.459601242
16	3.425511344
17	3.397926113
18	3.377965158
19	3.349309329
20	3.326815557
21	3.295909555
22	3.268191448
23	3.242334158
24	3.214150893
25	3.190712376
26	3.166176919
27	3.13923127
28	3.107580959
29	3.07794795
30	3.052223865
31	3.022982897
32	2.998112577
33	2.968816756
34	2.940215985
35	2.916671834
36	2.895133142
37	2.868013401
38	2.844230824
39	2.8220665
40	2.802769071
41	2.783371003
42	2.763331235
43	2.743253616
44	2.728977593
45	2.707438895
46	2.688944654
47	2.663634793
48	2.643316874
49	2.623973529
50	2.601820862
51	2.579667834
52	2.556011028
53	2.536115017
54	2.516843474
55	2.496248933
56	2.473847081
57	2.452693205
58	2.430747904
59	2.405547134
60	2.386411421
61	2.366881268
62	2.351822361
63	2.336648142
64	2.316259152
65	2.299598381
66	2.280359211
67	2.266843167
68	2.24906669
69	2.228369687
70	2.20768932
71	2.19269826
72	2.178561285
73	2.167022584
74	2.15287039
75	2.139418149
76	2.124891034
77	2.108736497
78	2.090303674
79	2.075549988
80	2.059362751
81	2.047136428
82	2.029421416
83	2.013916925
84	1.997155463
85	1.985591065
86	1.971881875
87	1.956309147
88	1.945427145
89	1.927881642
90	1.913159255
91	1.899173941
92	1.882927425
93	1.872620294
94	1.855702033
95	1.839413335
96	1.825536541
97	1.808597941
98	1.795545168
99	1.783768162
100	1.771767975
101	1.759199157
102	1.745368601
103	1.732119524
104	1.718885707
105	1.706101012
106	1.691389379
107	1.67805242
108	1.666034019
109	1.653466458
110	1.635767041
111	1.62300809
112	1.610477941
113	1.599486905
114	1.587934129
115	1.578002344
116	1.565483383
117	1.551367992
118	1.540977196
119	1.530396005
120	1.520707346
121	1.508585923
122	1.496902665
123	1.484861703
124	1.472021191
125	1.461797608
126	1.450060111
127	1.440338518
128	1.429535385
129	1.419917619
130	1.410498616
131	1.400864485
132	1.391636006
133	1.381654134
134	1.370457887
135	1.359437258
136	1.350177768
137	1.341828306
138	1.334478083
139	1.324207211
140	1.314856856
141	1.306271067
142	1.295062355
143	1.283936213
144	1.272118683
145	1.260810939
146	1.247765717
147	1.238947427
148	1.231936419
149	1.222863675
150	1.214166196
151	1.204934317
152	1.193960758
153	1.184278349
154	1.174528642
155	1.165618506
156	1.156185295
157	1.146767784
158	1.135030253
159	1.12761874
160	1.117417968
161	1.109631319
162	1.10155781
163	1.092628304
164	1.083951958
165	1.075727656
166	1.068015775
167	1.059054544
168	1.049106475
169	1.040348905
170	1.033795349
171	1.024751602
172	1.01622509
173	1.008635108
174	1.001590891
175	0.9942705949
176	0.9859942926
177	0.9781112077
178	0.9710979776
179	0.9636997505
180	0.9545010628
181	0.9477965074
182	0.9399993454
183	0.9319389386
184	0.9251987509
185	0.9190675505
186	0.9115072359
187	0.9043260851
188	0.8962627907
189	0.8899313844
190	0.8818505281
191	0.8736046475
192	0.8678299317
193	0.8608992417
194	0.8542276948
195	0.8465485725
196	0.8383747807
197	0.832626531
198	0.8246819304
199	0.8173515471
200	0.8112242219
201	0.8043538251
202	0.7967787556
203	0.789281711
204	0.7803670417
205	0.7737598343
206	0.7679261741
207	0.7608001714
208	0.75260122
209	0.7468395108
210	0.7397855896
211	0.732510078
212	0.7251329082
213	0.7188073352
214	0.7128009082
215	0.7066201805
216	0.6999025967
217	0.6930898035
218	0.6869563265
219	0.6806579655
220	0.676229299
221	0.6696163891
222	0.6639282004
223	0.6597156195
224	0.6546473764
225	0.647757678
226	0.6427381372
227	0.6373825397
228	0.6306584948
229	0.6259520015
230	0.6208764905
231	0.6153196546
232	0.6096937752
233	0.6042543592
234	0.5984235445
235	0.5922358037
236	0.5867094476
237	0.58134774
238	0.576855533
239	0.5722265048
240	0.5672663302
241	0.5620202815
242	0.5573394206
243	0.5520382878
244	0.5465599473
245	0.5411475792
246	0.5362592861
247	0.5320782078
248	0.5278586206
249	0.5237988148
250	0.5196620794
251	0.5154926534
252	0.5110695335
253	0.5068631162
254	0.5033404354
255	0.498714349
256	0.4946205115
257	0.4900705478
258	0.485708335
259	0.4815645726
260	0.4780027819
261	0.4736005927
262	0.4696810442
263	0.4656155368
264	0.461750596
265	0.4579233483
266	0.4540134211
267	0.4492384846
268	0.4458139076
269	0.4417108502
270	0.4382193025
271	0.4347425835
272	0.430611472
273	0.4263858578
274	0.4219779622
275	0.4188945159
276	0.4154043228
277	0.411946638
278	0.4078328917
279	0.4042205059
280	0.4005954383
281	0.3968353812
282	0.39278917
283	0.3901250425
