iter	Passed	Remaining
0	142	142802
1	148	74271
2	154	51264
3	160	39967
4	166	33130
5	173	28668
6	179	25401
7	186	23081
8	191	21124
9	199	19784
10	206	18557
11	214	17622
12	221	16851
13	225	15900
14	228	15032
15	232	14283
16	234	13586
17	237	12938
18	239	12358
19	241	11824
20	243	11332
21	245	10933
22	247	10530
23	249	10146
24	251	9790
25	252	9460
26	253	9153
27	255	8865
28	257	8614
29	259	8377
30	260	8158
31	262	7946
32	263	7735
33	265	7538
34	266	7352
35	267	7176
36	269	7010
37	271	6871
38	272	6726
39	274	6584
40	275	6447
41	276	6317
42	278	6192
43	279	6073
44	280	5960
45	282	5855
46	284	5771
47	285	5671
48	287	5575
49	288	5481
50	289	5392
51	291	5308
52	292	5227
53	293	5147
54	295	5079
55	297	5016
56	298	4945
57	300	4877
58	301	4811
59	303	4747
60	304	4685
61	305	4624
62	306	4565
63	308	4517
64	310	4472
65	312	4419
66	313	4366
67	314	4316
68	316	4266
69	317	4217
70	318	4171
71	320	4125
72	322	4099
73	324	4058
74	325	4016
75	326	3975
76	328	3934
77	329	3894
78	330	3856
79	332	3819
80	333	3783
81	335	3759
82	337	3727
83	338	3693
84	339	3659
85	341	3627
86	342	3595
87	343	3563
88	345	3532
89	346	3503
90	348	3485
91	350	3457
92	351	3428
93	352	3401
94	354	3374
95	355	3347
96	356	3321
97	358	3298
98	359	3275
99	362	3260
100	363	3236
101	364	3212
102	366	3189
103	367	3166
104	368	3143
105	370	3122
106	371	3100
107	373	3086
108	375	3072
109	377	3051
110	378	3031
111	379	3012
112	381	2992
113	382	2973
114	383	2953
115	385	2935
116	387	2924
117	389	2908
118	390	2890
119	391	2873
120	393	2856
121	394	2838
122	395	2821
123	397	2805
124	398	2792
125	400	2781
126	402	2765
127	403	2751
128	405	2735
129	406	2719
130	407	2703
131	408	2688
132	410	2674
133	412	2665
134	414	2654
135	415	2640
136	417	2627
137	418	2613
138	419	2599
139	420	2585
140	422	2572
141	423	2558
142	425	2552
143	427	2540
144	428	2528
145	429	2514
146	431	2502
147	432	2489
148	433	2477
149	434	2464
150	436	2452
151	438	2445
152	439	2435
153	441	2424
154	442	2412
155	443	2401
156	445	2390
157	446	2379
158	447	2368
159	449	2357
160	451	2352
161	452	2342
162	454	2331
163	455	2321
164	456	2311
165	457	2300
166	459	2290
167	460	2280
168	461	2270
169	464	2265
170	465	2257
171	466	2247
172	468	2238
173	469	2229
174	471	2220
175	472	2211
176	473	2202
177	475	2193
178	477	2188
179	478	2179
180	479	2171
181	481	2162
182	482	2154
183	483	2145
184	485	2137
185	486	2128
186	487	2120
187	490	2116
188	491	2108
189	492	2100
190	494	2092
191	495	2084
192	496	2076
193	497	2068
194	499	2060
195	500	2054
196	502	2049
197	504	2041
198	505	2034
199	506	2026
200	508	2019
201	509	2012
202	510	2005
203	512	1997
204	513	1991
205	515	1987
206	516	1980
207	518	1973
208	519	1966
209	520	1959
210	522	1952
211	523	1945
212	524	1939
213	527	1935
214	528	1931
215	530	1924
216	531	1918
217	532	1911
218	534	1904
219	535	1898
220	536	1891
221	538	1885
222	540	1881
223	541	1877
224	543	1871
225	544	1864
226	545	1858
227	546	1852
228	548	1845
229	549	1840
230	551	1834
231	553	1831
232	555	1827
233	556	1821
234	557	1816
235	559	1810
236	560	1804
237	561	1799
238	563	1793
239	564	1787
240	566	1785
241	568	1781
242	569	1775
243	571	1769
244	572	1764
245	573	1758
246	575	1752
247	576	1747
248	577	1742
249	579	1739
250	581	1734
251	582	1729
252	583	1723
253	585	1718
254	586	1713
255	587	1707
256	589	1702
257	590	1697
258	592	1695
259	593	1690
260	595	1685
261	596	1680
262	597	1675
263	599	1670
264	600	1665
265	601	1660
266	602	1655
267	605	1653
268	606	1649
269	608	1644
270	609	1639
271	610	1634
272	612	1630
273	613	1625
274	614	1620
275	616	1615
276	618	1613
277	619	1609
278	620	1604
279	622	1600
280	623	1595
281	624	1591
282	626	1586
283	627	1582
284	628	1577
285	630	1575
286	632	1571
287	633	1566
288	635	1562
289	636	1558
290	637	1553
291	639	1549
292	640	1545
293	641	1540
294	643	1538
295	645	1534
296	646	1530
297	648	1526
298	649	1522
299	650	1518
300	652	1514
301	653	1510
302	654	1506
303	657	1504
304	658	1500
305	659	1496
306	661	1492
307	662	1488
308	663	1484
309	664	1479
310	666	1475
311	667	1471
312	669	1469
313	671	1466
314	672	1462
315	673	1458
316	675	1454
317	676	1450
318	677	1446
319	679	1443
320	680	1439
321	682	1437
322	684	1433
323	685	1430
324	686	1426
325	688	1422
326	689	1419
327	690	1415
328	692	1411
329	693	1408
330	695	1406
331	697	1402
332	698	1398
333	699	1395
334	700	1391
335	702	1387
336	703	1383
337	704	1380
338	706	1376
339	708	1375
340	709	1371
341	711	1368
342	712	1364
343	713	1361
344	715	1357
345	716	1354
346	718	1351
347	721	1350
348	723	1349
349	724	1346
350	726	1343
351	727	1339
352	729	1336
353	730	1332
354	731	1329
355	734	1327
356	735	1325
357	737	1321
358	738	1318
359	739	1315
360	741	1311
361	742	1308
362	743	1304
363	744	1301
364	747	1300
365	749	1297
366	750	1294
367	751	1290
368	752	1287
369	754	1284
370	755	1280
371	756	1277
372	758	1274
373	760	1272
374	785	1309
375	786	1305
376	788	1302
377	790	1300
378	792	1298
379	795	1297
380	797	1296
381	799	1294
382	802	1292
383	804	1290
384	806	1287
385	807	1284
386	808	1281
387	810	1277
388	811	1274
389	812	1271
390	814	1268
391	815	1265
392	817	1262
393	819	1259
394	820	1256
395	821	1253
396	823	1250
397	824	1247
398	825	1243
399	827	1240
400	829	1238
401	831	1236
402	832	1233
403	833	1229
404	834	1226
405	836	1223
406	837	1220
407	838	1217
408	840	1213
409	842	1211
410	844	1209
411	845	1206
412	846	1203
413	847	1200
414	849	1197
415	850	1194
416	852	1191
417	853	1187
418	855	1186
419	857	1184
420	859	1181
421	860	1178
422	861	1175
423	863	1172
424	864	1169
425	865	1166
426	866	1163
427	869	1161
428	870	1158
429	871	1155
430	873	1152
431	874	1149
432	875	1146
433	876	1143
434	878	1140
435	879	1137
436	881	1136
437	883	1133
438	884	1130
439	886	1127
440	887	1124
441	888	1122
442	890	1119
443	891	1116
444	892	1113
445	895	1112
446	896	1109
447	897	1106
448	899	1103
449	900	1100
450	901	1097
451	903	1095
452	904	1092
453	906	1090
454	908	1088
455	910	1085
456	911	1083
457	912	1080
458	914	1077
459	915	1074
460	916	1071
461	918	1069
462	920	1067
463	922	1065
464	923	1062
465	924	1059
466	926	1057
467	927	1054
468	928	1051
469	930	1048
470	931	1046
471	933	1044
472	935	1042
473	936	1039
474	938	1036
475	939	1034
476	940	1031
477	942	1028
478	943	1026
479	944	1023
480	946	1021
481	948	1019
482	949	1016
483	950	1013
484	952	1011
485	953	1008
486	954	1005
487	956	1003
488	957	1000
489	959	998
490	960	996
491	962	993
492	963	990
493	964	988
494	966	985
495	967	982
496	968	980
497	969	977
498	972	976
499	973	973
500	975	971
501	976	968
502	978	966
503	979	963
504	980	961
505	982	958
506	983	956
507	985	954
508	987	952
509	988	949
510	990	947
511	991	945
512	993	942
513	994	940
514	995	937
515	998	936
516	999	934
517	1001	931
518	1002	929
519	1004	926
520	1005	924
521	1006	921
522	1007	919
523	1009	917
524	1011	915
525	1013	913
526	1014	910
527	1015	908
528	1017	905
529	1018	903
530	1019	900
531	1020	898
532	1022	895
533	1024	894
534	1026	891
535	1027	889
536	1028	886
537	1029	884
538	1031	881
539	1032	879
540	1033	876
541	1035	874
542	1037	872
543	1038	870
544	1039	868
545	1041	865
546	1042	863
547	1044	861
548	1045	858
549	1046	856
550	1048	854
551	1050	852
552	1052	850
553	1053	848
554	1054	845
555	1056	843
556	1057	840
557	1058	838
558	1059	836
559	1062	834
560	1063	832
561	1064	830
562	1066	827
563	1067	825
564	1068	822
565	1070	820
566	1071	818
567	1072	815
568	1074	814
569	1076	812
570	1077	809
571	1079	807
572	1080	805
573	1082	803
574	1083	800
575	1084	798
576	1085	796
577	1088	794
578	1089	792
579	1091	790
580	1092	787
581	1093	785
582	1094	783
583	1096	780
584	1097	778
585	1098	776
586	1101	774
587	1102	772
588	1103	770
589	1105	768
590	1106	765
591	1107	763
592	1109	761
593	1110	758
594	1111	756
595	1113	755
596	1115	752
597	1116	750
598	1117	748
599	1119	746
600	1120	743
601	1121	741
602	1123	739
603	1126	738
604	1128	736
605	1129	734
606	1131	732
607	1132	730
608	1134	728
609	1135	725
610	1136	723
611	1137	721
612	1140	719
613	1141	717
614	1142	715
615	1144	713
616	1147	712
617	1148	710
618	1150	707
619	1152	706
620	1154	704
621	1155	702
622	1156	699
623	1157	697
624	1159	695
625	1160	693
626	1161	691
627	1163	688
628	1165	687
629	1167	685
630	1168	683
631	1170	681
632	1171	679
633	1172	677
634	1174	674
635	1175	672
636	1176	670
637	1179	669
638	1180	667
639	1182	664
640	1183	662
641	1184	660
642	1186	658
643	1187	656
644	1189	654
645	1191	653
646	1193	650
647	1194	648
648	1195	646
649	1197	644
650	1198	642
651	1199	640
652	1200	638
653	1202	636
654	1204	634
655	1206	632
656	1207	630
657	1208	628
658	1209	626
659	1211	623
660	1212	621
661	1213	619
662	1215	617
663	1217	616
664	1218	614
665	1220	612
666	1221	609
667	1222	607
668	1224	605
669	1225	603
670	1226	601
671	1228	599
672	1230	597
673	1231	595
674	1232	593
675	1234	591
676	1235	589
677	1236	587
678	1237	585
679	1239	583
680	1256	588
681	1263	588
682	1267	588
683	1275	589
684	1280	588
685	1287	589
686	1292	588
687	1297	588
688	1303	588
689	1306	586
690	1309	585
691	1313	584
692	1315	582
693	1317	580
694	1319	579
695	1321	577
696	1324	575
697	1326	573
698	1328	571
699	1329	569
700	1330	567
701	1332	565
702	1333	563
703	1335	561
704	1337	559
705	1338	557
706	1340	555
707	1341	553
708	1343	551
709	1344	549
710	1345	547
711	1347	544
712	1349	543
713	1351	541
714	1352	539
715	1353	537
716	1355	534
717	1356	532
718	1357	530
719	1359	528
720	1360	526
721	1362	524
722	1364	522
723	1365	520
724	1366	518
725	1368	516
726	1369	514
727	1370	512
728	1372	510
729	1373	507
730	1375	506
731	1377	504
732	1378	502
733	1379	499
734	1380	497
735	1382	495
736	1383	493
737	1384	491
738	1385	489
739	1387	487
740	1389	485
741	1391	483
742	1392	481
743	1393	479
744	1395	477
745	1396	475
746	1397	473
747	1398	471
748	1400	469
749	1402	467
750	1404	465
751	1405	463
752	1406	461
753	1407	459
754	1409	457
755	1410	455
756	1411	453
757	1413	451
758	1415	449
759	1417	447
760	1418	445
761	1419	443
762	1421	441
763	1422	439
764	1423	437
765	1425	435
766	1427	433
767	1428	431
