iter	RMSE
0	3.921703502
1	3.88619395
2	3.866569293
3	3.833740437
4	3.800588143
5	3.766383408
6	3.72713284
7	3.70466968
8	3.66958903
9	3.632148576
10	3.601266165
11	3.575455456
12	3.542981373
13	3.508999695
14	3.474566395
15	3.442506578
16	3.403093297
17	3.378472018
18	3.345685545
19	3.310868089
20	3.284969514
21	3.251198096
22	3.220610678
23	3.194254789
24	3.170941442
25	3.144233855
26	3.11521906
27	3.084492266
28	3.05207803
29	3.025592766
30	3.001780967
31	2.970926333
32	2.943420648
33	2.915563137
34	2.890417496
35	2.868306026
36	2.849629886
37	2.823810516
38	2.80215893
39	2.78152711
40	2.760856488
41	2.738148269
42	2.720331024
43	2.690527843
44	2.672322123
45	2.649651858
46	2.6283517
47	2.610773779
48	2.585669161
49	2.563422968
50	2.541355456
51	2.521218456
52	2.502105321
53	2.481174869
54	2.462303359
55	2.438146427
56	2.416980119
57	2.391137464
58	2.374054459
59	2.35215496
60	2.329451879
61	2.312854053
62	2.299557636
63	2.282770051
64	2.262529207
65	2.246575946
66	2.229552893
67	2.217827867
68	2.196987256
69	2.175869311
70	2.160244692
71	2.145669349
72	2.126939321
73	2.11047867
74	2.0929682
75	2.079025869
76	2.062970483
77	2.045816468
78	2.0311452
79	2.015609425
80	1.998367548
81	1.985497107
82	1.969609392
83	1.954857396
84	1.940275496
85	1.925533554
86	1.908302585
87	1.89037377
88	1.874759318
89	1.85927296
90	1.84475964
91	1.83332659
92	1.821149404
93	1.809450703
94	1.792593872
95	1.778121363
96	1.764338052
97	1.75165445
98	1.735865259
99	1.725405201
100	1.715575044
101	1.704015979
102	1.690513464
103	1.674461607
104	1.664595264
105	1.648621612
106	1.637613372
107	1.624714859
108	1.612777167
109	1.600076901
110	1.588003518
111	1.574296199
112	1.56218597
113	1.549285002
114	1.540254088
115	1.530867052
116	1.520981261
117	1.507319977
118	1.497457844
119	1.485950338
120	1.477467074
121	1.464229747
122	1.451681014
123	1.440013844
124	1.428049627
125	1.413869032
126	1.403796169
127	1.394184222
128	1.381576813
129	1.368977236
130	1.35640911
131	1.347025647
132	1.336966135
133	1.327445281
134	1.316386631
135	1.305188737
136	1.295332005
137	1.284144858
138	1.273833963
139	1.265040418
140	1.257950181
141	1.24899174
142	1.23868566
143	1.230487528
144	1.219177878
145	1.209575373
146	1.199477363
147	1.190241498
148	1.180106157
149	1.171081848
150	1.163422004
151	1.15590031
152	1.146138275
153	1.138682578
154	1.128021191
155	1.120044769
156	1.111934691
157	1.101887844
158	1.092518475
159	1.083575836
160	1.073900549
161	1.066685637
162	1.061488734
163	1.052821306
164	1.044148495
165	1.036088921
166	1.027867458
167	1.019584463
168	1.009791301
169	0.9996199102
170	0.992713938
171	0.984578173
172	0.9789986311
173	0.972205228
174	0.9641154491
175	0.956214815
176	0.9504278966
177	0.9430859117
178	0.934775893
179	0.92681777
180	0.9186297687
181	0.9112218612
182	0.9031041706
183	0.8943820495
184	0.8855649005
185	0.8790906749
186	0.8720499919
187	0.864689318
188	0.8573080956
189	0.8507496345
190	0.8429367668
191	0.8344913459
192	0.8262794371
193	0.8192960028
194	0.8114447296
195	0.8049759303
196	0.7972135756
197	0.7901882995
198	0.7827635405
199	0.7750078082
200	0.7678506519
201	0.7610658331
202	0.7543703801
203	0.748021798
204	0.7422136004
205	0.7362719583
206	0.7298664488
207	0.7231921953
208	0.7164320518
209	0.7104787128
210	0.7038827875
211	0.6977962295
212	0.6913999602
213	0.6847064541
214	0.6789406139
215	0.6733300915
216	0.6686118439
217	0.6627571632
218	0.6578664111
219	0.6520243102
220	0.6467929447
221	0.6412199584
222	0.6366787987
223	0.6319054788
224	0.6259983617
225	0.6198044678
226	0.6145288733
227	0.608439319
228	0.60327252
229	0.5981781291
230	0.5932619826
231	0.5888080322
232	0.5834055414
233	0.5787390225
234	0.5739274173
235	0.5688900379
236	0.563606717
237	0.5589891183
238	0.5542923854
239	0.5493662696
240	0.5446231646
241	0.5396677191
242	0.534829246
243	0.5305280401
244	0.5258053286
245	0.52053156
246	0.5158481836
247	0.5113147288
248	0.5067709127
249	0.5021112403
250	0.4966849458
251	0.4930861011
252	0.4887428367
253	0.4857318614
254	0.4812202543
255	0.4773547643
256	0.4729046017
257	0.4687460733
258	0.4645156486
259	0.4602009329
260	0.4563307467
261	0.4523534488
262	0.448157476
263	0.4440778996
264	0.4400606397
265	0.436006811
266	0.4313411943
267	0.4273778597
268	0.4236803297
269	0.4204766745
270	0.4165653949
271	0.4129985926
272	0.4093832597
273	0.405841164
274	0.4023166551
275	0.3990262331
276	0.3948593443
277	0.3914736213
278	0.3881524927
279	0.3848184244
280	0.3820650918
281	0.3787481375
282	0.3754691368
283	0.3727749881
284	0.3693272376
285	0.3659045374
286	0.3625107191
287	0.3592118368
288	0.3559722005
289	0.3531910312
290	0.3503260146
291	0.3474690169
292	0.3446444311
293	0.341882429
294	0.339013669
295	0.3360842578
296	0.3332447848
297	0.3303727026
298	0.3276968897
299	0.3251544311
300	0.3222599148
301	0.3195427556
302	0.3168152353
303	0.3143501037
304	0.3116497245
305	0.3091006608
306	0.3068024649
307	0.3034617103
308	0.3008076451
309	0.2983470497
310	0.2958839845
311	0.2935928092
312	0.2910890594
313	0.2886504602
