iter	Passed	Remaining
0	55	55204
1	59	29867
2	64	21487
3	69	17205
4	72	14391
5	74	12285
6	75	10717
7	76	9508
8	77	8547
9	78	7790
10	81	7286
11	82	6824
12	83	6369
13	84	5969
14	85	5626
15	86	5343
16	87	5078
17	89	4856
18	90	4650
19	90	4458
20	91	4287
21	93	4136
22	94	3993
23	95	3865
24	95	3743
25	96	3631
26	97	3526
27	98	3428
28	99	3344
29	100	3261
30	102	3212
31	103	3136
32	104	3064
33	105	2996
34	107	2961
35	108	2915
36	110	2866
37	111	2812
38	111	2759
39	112	2709
40	115	2700
41	116	2666
42	118	2634
43	119	2591
44	120	2563
45	122	2531
46	122	2493
47	124	2469
48	129	2515
49	130	2480
50	131	2448
51	132	2414
52	133	2384
53	135	2368
54	136	2344
55	138	2332
56	139	2302
57	140	2279
58	141	2263
59	143	2242
60	144	2225
61	145	2203
62	147	2188
63	148	2172
64	149	2152
65	150	2133
66	151	2111
67	156	2143
68	158	2133
69	159	2116
70	160	2096
71	161	2082
72	163	2070
73	164	2064
74	167	2064
75	168	2048
76	169	2032
77	171	2023
78	173	2019
79	174	2011
80	176	2004
81	177	1988
82	178	1972
83	179	1961
84	181	1953
85	183	1947
86	185	1945
87	186	1936
88	187	1922
89	188	1907
90	189	1896
91	190	1884
92	193	1884
93	195	1881
94	198	1891
95	199	1878
96	200	1865
97	201	1852
98	202	1842
99	203	1830
100	205	1826
101	206	1816
102	207	1808
103	208	1797
104	209	1786
105	210	1776
106	211	1768
107	214	1771
108	215	1762
109	217	1757
110	218	1751
111	219	1742
112	221	1735
113	223	1736
114	224	1730
115	226	1725
116	227	1716
117	229	1715
118	230	1705
119	231	1700
120	233	1695
121	234	1689
122	236	1683
123	237	1678
124	239	1673
125	241	1674
126	243	1672
127	244	1669
128	246	1666
129	247	1657
130	248	1648
131	250	1645
132	251	1640
133	252	1635
134	253	1627
135	254	1619
136	256	1614
137	257	1608
138	259	1604
139	260	1599
140	261	1591
141	262	1587
142	263	1580
143	264	1574
144	266	1569
145	267	1562
146	268	1558
147	269	1553
148	271	1551
149	272	1545
150	273	1538
151	274	1532
152	276	1529
153	278	1528
154	279	1522
155	280	1515
156	281	1509
157	282	1503
158	283	1497
159	284	1491
160	284	1485
161	285	1478
162	287	1474
163	292	1492
164	293	1486
165	296	1491
166	298	1489
167	299	1485
168	301	1481
169	302	1476
170	304	1476
171	305	1472
172	306	1467
173	308	1463
174	309	1457
175	311	1457
176	313	1456
177	315	1456
178	316	1450
179	317	1445
180	318	1442
181	320	1440
182	322	1438
183	324	1437
184	326	1438
185	328	1435
186	328	1430
187	330	1425
188	331	1422
189	332	1419
190	335	1420
191	336	1417
192	337	1413
193	338	1407
194	339	1403
195	340	1397
196	341	1392
197	344	1394
198	345	1390
199	346	1387
200	347	1382
201	348	1378
202	350	1374
203	351	1371
204	353	1370
205	355	1368
206	356	1365
207	357	1360
208	358	1355
209	359	1351
210	360	1347
211	361	1345
212	364	1345
213	365	1343
214	367	1340
215	367	1335
216	368	1330
217	369	1325
218	370	1321
219	372	1320
220	374	1319
221	375	1315
222	376	1312
223	378	1309
224	379	1307
225	381	1305
226	382	1301
227	384	1301
228	385	1297
229	386	1293
230	387	1289
231	388	1286
232	389	1282
233	391	1281
234	392	1279
235	394	1277
236	395	1273
237	397	1271
238	398	1268
239	400	1267
240	401	1264
241	403	1262
242	403	1258
243	405	1255
244	406	1252
245	407	1248
246	408	1246
247	410	1244
248	412	1244
249	414	1242
250	415	1238
251	416	1235
252	417	1232
253	419	1230
254	420	1227
255	422	1227
256	423	1224
257	424	1221
258	425	1218
259	427	1215
260	429	1217
261	430	1213
262	432	1212
263	433	1208
264	435	1207
265	436	1205
266	439	1205
267	440	1202
268	442	1201
269	443	1198
270	444	1195
271	446	1194
272	447	1191
273	450	1192
274	452	1192
275	453	1189
276	454	1186
277	456	1184
278	459	1188
279	460	1184
280	462	1183
281	463	1181
282	464	1177
283	466	1175
284	467	1172
285	468	1169
286	469	1166
287	471	1165
288	472	1163
289	473	1160
290	474	1157
291	476	1154
292	478	1153
293	479	1151
294	481	1150
295	482	1147
296	483	1143
297	484	1140
298	485	1137
299	486	1136
300	487	1133
301	489	1132
302	490	1129
303	492	1126
304	493	1125
305	497	1128
306	500	1129
307	502	1129
308	507	1133
309	510	1136
310	513	1137
311	516	1137
312	519	1139
313	521	1139
314	524	1140
315	526	1140
316	529	1140
317	530	1137
318	531	1135
319	533	1132
320	534	1131
321	536	1130
322	538	1128
323	539	1125
324	540	1122
325	541	1118
326	542	1115
327	544	1114
328	544	1111
329	546	1109
330	547	1106
331	548	1104
332	549	1101
333	551	1100
334	553	1097
335	555	1097
336	556	1094
337	557	1091
338	558	1089
339	559	1086
340	560	1083
341	562	1081
342	563	1080
343	565	1077
344	566	1074
345	566	1071
346	567	1068
347	568	1065
348	570	1064
349	571	1061
350	572	1058
351	574	1057
352	575	1055
353	576	1052
354	578	1050
355	578	1046
356	579	1044
357	582	1044
358	583	1042
359	585	1041
360	586	1038
361	587	1036
362	589	1034
363	592	1034
364	593	1032
365	596	1033
366	597	1030
367	598	1027
368	600	1026
369	602	1025
370	604	1024
371	605	1022
372	607	1021
373	608	1019
374	609	1016
375	612	1015
376	613	1014
377	615	1013
378	618	1012
379	619	1010
380	620	1008
381	622	1006
382	623	1004
383	626	1005
384	628	1003
385	630	1003
386	631	1000
387	632	998
388	634	997
389	636	995
390	638	993
391	639	991
392	641	990
393	642	988
394	643	985
395	645	985
396	648	985
397	650	983
398	651	981
399	652	979
400	655	978
401	658	979
402	661	980
403	662	977
404	663	975
405	665	972
406	667	972
407	671	974
408	673	973
409	674	970
410	676	969
411	678	968
412	680	967
413	682	966
414	684	964
415	685	962
416	687	960
417	688	958
418	692	960
419	694	958
420	696	957
421	698	956
422	699	953
423	700	951
